Date,High
02-03-2021,128.72
03-03-2021,125.71
04-03-2021,123.6
05-03-2021,121.94
08-03-2021,121
09-03-2021,122.06
10-03-2021,122.17
11-03-2021,123.21
12-03-2021,121.17
15-03-2021,124
16-03-2021,127.22
17-03-2021,125.86
18-03-2021,123.18
19-03-2021,121.43
22-03-2021,123.87
23-03-2021,124.24
24-03-2021,122.9
25-03-2021,121.66
26-03-2021,121.48
29-03-2021,122.58
30-03-2021,120.4
31-03-2021,123.52
01-04-2021,124.18
05-04-2021,126.16
06-04-2021,127.13
07-04-2021,127.92
08-04-2021,130.39
09-04-2021,133.04
12-04-2021,132.85
13-04-2021,134.66
14-04-2021,135
15-04-2021,135
16-04-2021,134.67
19-04-2021,135.47
20-04-2021,135.53
21-04-2021,133.75
22-04-2021,134.15
23-04-2021,135.12
26-04-2021,135.06
27-04-2021,135.41
28-04-2021,135.02
29-04-2021,137.07
30-04-2021,133.56
